product_id,total_sales
0031b0c0fd0b4ae,106
01097347f0864b2,105
01fd9d58e8924e1,105
02288cb69b40485,207
02499273db2648c,232
02878dddadb341a,210
0449a5f45f824c9,87
049e9e70ff2345c,122
04d58fea5fdb4f2,196
04f2be8321004d3,177
050dde88cf3e451,94
051b4c93b9c845c,198
052ab58b3da7419,86
05e804f4a5be4f7,100
062bc3064ddb4cd,91
06a4d5596bf547b,77
06c125697d2e474,94
080a05476f8d4eb,105
08e1b0717aa0462,103
090ca37c922e45c,98
0981e690206047e,82
09b1aa816dee491,101
0a0617aa3018408,83
0a7cf8ec13ba475,64
0ab6ec43eb654c0,195
0ac5ac54f9ec437,88
0b14e97e38564b2,98
0b5feefaab014e7,91
0c3f68531ef241e,92
0cb394c609454cc,101
0cfee9b651bf449,108
0d035751998345d,87
0effa2b4ff384eb,83
0f44a9e6585b450,72
0f7112d0cbb0464,179
0f7dad258f584fa,220
10822ed3928d45b,105
1082a6c32f1a483,87
111c7ad62e204f7,90
11fda8271e88476,199
12e10d7d74064d9,101
1378f030b1cd484,95
137c03de5b3647c,107
13888a1344494d2,197
143ef651b4604bf,203
144346149201480,197
14a3069a0550409,84
1529dae06ac14f3,111
15484594409042e,91
1567ac8f26e34bd,227
158e5d9eb9f8473,212
15ff4a304290435,99
17848f01a0cc43f,102
179e6af58240446,93
17eab9db1bab4b0,218
184c0911e4954ab,87
1b53de0f083f458,196
1d3ea793481146b,95
1da55a12f7f8441,96
1dd8ba3c4b6f429,185
1f467d95371d494,219
1f69b2f19b544bb,84
1f72737ac98547e,95
1f9199edd6e942c,112
1ffa244103c04ed,100
2084b4fb23f94ee,175
20b0b15f581344e,118
20cdd1fe8454415,117
20eb0d63ab5b43d,84
214f625e758246e,93
2284cd835d4c4a2,92
22af3a4a94bc4b6,97
234ac2157bf142a,222
24667bede7dd4eb,90
25061148d5cf4cd,86
255287dbafa149b,99
25dfe55e808b467,107
26252577cbc5437,201
26687bb032a8462,103
26ad3dc2a8a54b2,88
26e03a949bcc4ed,94
26fe53c2f5f2472,98
28036a0467db4be,104
2812a4010ae9412,185
281822230ceb4a8,88
28283b48202344a,101
286ea9ad60314b5,227
288bdb0268a04d2,185
29c41d960f15489,97
29f2d3e27ba4475,82
2a3817fe97914c6,207
2abd51056d1d4f8,94
2addfd84dd9c42a,104
2ae16883f7204d0,88
2af9fbf1a065435,229
2b004373c98b4c4,79
2bcd7f0c1f404d0,91
2c0c15431c28459,176
2c4130d52890425,93
2ccdb1445cdc41b,99
2d451cf272324d8,89
2de777591ac041f,96
2f4d671912e24dc,220
2f6f5a0b02424c9,94
2fd4c4c79e5a4e5,99
301e5b13490e4fd,81
3026a88f1bd44b0,195
31db511c411e471,179
